Correlations,Customer_Age,Dependent_count,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio
Customer_Age,1.000,,,,,,,,,,,,,
Dependent_count,-0.122,1.000,,,,,,,,,,,,
Months_on_book,0.789,-0.103,1.000,,,,,,,,,,,
Total_Relationship_Count,-0.011,-0.039,-0.009,1.000,,,,,,,,,,
Months_Inactive_12_mon,0.054,-0.011,0.074,-0.004,1.000,,,,,,,,,
Contacts_Count_12_mon,-0.018,-0.041,-0.011,0.055,0.029,1.000,,,,,,,,
Credit_Limit,0.002,0.068,0.008,-0.071,-0.020,0.021,1.000,,,,,,,
Total_Revolving_Bal,0.015,-0.003,0.009,0.014,-0.042,-0.054,0.042,1.000,,,,,,
Avg_Open_To_Buy,0.001,0.068,0.007,-0.073,-0.017,0.026,0.996,-0.047,1.000,,,,,
Total_Amt_Chng_Q4_Q1,-0.062,-0.035,-0.049,0.050,-0.032,-0.024,0.013,0.058,0.008,1.000,,,,
Total_Trans_Amt,-0.046,0.025,-0.039,-0.347,-0.037,-0.113,0.172,0.064,0.166,0.040,1.000,,,
Total_Trans_Ct,-0.067,0.050,-0.050,-0.242,-0.043,-0.152,0.076,0.056,0.071,0.005,0.807,1.000,,
Total_Ct_Chng_Q4_Q1,-0.012,0.011,-0.014,0.041,-0.039,-0.095,-0.002,0.090,-0.010,0.384,0.086,0.112,1.000,
Avg_Utilization_Ratio,0.007,-0.037,-0.008,0.068,-0.008,-0.055,-0.483,0.624,-0.539,0.035,-0.083,0.003,0.074,1.000
